Model,rmstd,rmstd_lci,rmstd_uci
PE 6,-0.8977,-8.57725,3.942025
PE 12,-9.0325,-31.17025,0.36121
PE 18,-6.576,-23.12,1.120075
PE 6 & 12,0.36045,-28.76,19.48
PE 6 & 18,-7.631,-54.33025,14.24025
PE 12 & 18,-4.754,-62.6415,19.44
RP1,6.857,-11.24,51.40025
RP2,5.3685,-8.809,57.4005
RP3,4.12,-8.44705,126.3
RP4,0.2004,-6.909,90.25
FP -2,-12.04,-46.76,0.1826025
FP -1,-14.58,-40.6,1.948025
FP -0.5,-6.958,-23.15,2.939025
FP 0,-2.665,-14.59,10.02
FP 0.5,1.366,-18.49,39.18025
FP 1,8.479,-28.37,73.6
FP 2,50.49,-24.08025,171
FP 3,76.75,-163,271.3
FP -0.5 & 0,-1.676,-27.78,12.46025
FP 0.5 & 1,-0.39775,-45.45,41.14025
